OVERALL INFORMATION

HOST_NAME                               |INSTANCE_NAME   |DATABASE_NAME |OPEN_MODE       |DATABASE_ROLE   |CREATED            |      DBID|VERSION    |BANNER
----------------------------------------|----------------|--------------|----------------|----------------|-------------------|----------|-----------|--------------------------------------------------------------------------------
hrvltstdb20.washdc.state.sbu            |UAT1            |UAT           |READ WRITE      |PRIMARY         |2022.12.19_07.50.47|3148351063|19.0.0.0.0 |Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production

PARAMETER                     |VALUE
------------------------------|--------------------
control_management_pack_access|DIAGNOSTIC+TUNING
enable_ddl_logging            |FALSE


++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
MULTITENANT INFORMATION (Please ignore errors in pre 12.1 databases)
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

CON_ID|NAME                          |OPEN_MODE       |RESTRICTED|REMARKS
------|------------------------------|----------------|----------|-----------------------------------------------------------------------------
     0|UAT                           |READ WRITE      |NO        |

The multitenant architecture with one user-created pluggable database (single tenant) is available in all editions without the Multitenant Option.
If more than one PDB containers are created, then Multitenant Option licensing is needed
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
>>> Selecting from DBA_FEATURE_USAGE_STATISTICS


DBA_FEATURE_USAGE_STATISTICS (DBA_FUS) INFORMATION - MOST RECENT SAMPLE BASED ON LAST_SAMPLE_DATE

LAST_DBA_FUS_DBID|LAST_DBA_FUS_VERS|LAST_DBA_FUS_SAMPLE|SYSDATE            |REMARKS
-----------------|-----------------|-------------------|-------------------|-----------------
       3148351063|19.0.0.0.0       |2023.01.02_20.28.17|2023.01.06_12.01.37|


++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
PRODUCT USAGE
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

PRODUCT                                            |USAGE                   |LAST_SAMPLE_DATE   |FIRST_USAGE_DATE   |LAST_USAGE_DATE
---------------------------------------------------|------------------------|-------------------|-------------------|-------------------
Active Data Guard                                  |NO_USAGE                |2023.01.02_20.28.17|                   |
Active Data Guard or Real Application Clusters     |NO_USAGE                |2023.01.02_20.28.17|                   |
Advanced Analytics                                 |NO_USAGE                |2023.01.02_20.28.17|                   |
Advanced Compression                               |PAST_OR_CURRENT_USAGE   |2023.01.02_20.28.17|2015.03.28_02.23.26|2023.01.02_20.28.17
Advanced Security                                  |CURRENT_USAGE           |2023.01.02_20.28.17|2016.01.08_19.54.54|2023.01.02_20.28.17
Database In-Memory                                 |NO_USAGE                |2023.01.02_20.28.17|                   |
Database Vault                                     |NO_USAGE                |2023.01.02_20.28.17|                   |
Diagnostics Pack                                   |PAST_USAGE              |2023.01.02_20.28.17|2012.02.05_19.16.00|2022.08.11_01.17.46
Label Security                                     |NO_USAGE                |2023.01.02_20.28.17|                   |
OLAP                                               |NO_USAGE                |2023.01.02_20.28.17|                   |
Partitioning                                       |NO_USAGE                |2023.01.02_20.28.17|                   |
RAC or RAC One Node                                |NO_USAGE                |2023.01.02_20.28.17|                   |
Real Application Clusters                          |CURRENT_USAGE           |2023.01.02_20.28.17|2012.01.22_10.23.29|2023.01.02_20.28.17
Real Application Clusters One Node                 |NO_USAGE                |2023.01.02_20.28.17|                   |
Real Application Testing                           |NO_USAGE                |2023.01.02_20.28.17|                   |
Spatial and Graph                                  |NO_USAGE                |2023.01.02_20.28.17|                   |
Tuning Pack                                        |CURRENT_USAGE           |2023.01.02_20.28.17|2012.05.13_20.38.42|2023.01.02_20.28.17
.Database Gateway                                  |CURRENT_USAGE           |2023.01.02_20.28.17|2021.11.04_01.55.02|2023.01.02_20.28.17
.Exadata                                           |NO_USAGE                |2023.01.02_20.28.17|                   |
.GoldenGate                                        |NO_USAGE                |2023.01.02_20.28.17|                   |
.HW                                                |NO_USAGE                |2023.01.02_20.28.17|                   |
.Pillar Storage                                    |NO_USAGE                |2023.01.02_20.28.17|                   |


++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
FEATURE USAGE DETAILS
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

PRODUCT                                            |FEATURE_BEING_USED                                      |USAGE                   |LAST_SAMPLE_DATE   |      DBID|VERSION    |DETECTED_USAGES|TOTAL_SAMPLES|CURRENTLY_USED|FIRST_USAGE_DATE   |LAST_USAGE_DATE    |EXTRA_FEATURE_INFO
---------------------------------------------------|--------------------------------------------------------|------------------------|-------------------|----------|-----------|---------------|-------------|--------------|-------------------|-------------------|--------------------------------------------------------------------------------
Active Data Guard                                  |Active Data Guard - Real-Time Query on Physical Standby |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Active Data Guard                                  |Global Data Services                                    |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Active Data Guard or Real Application Clusters     |Application Continuity                                  |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Analytics                                 |Data Mining                                             |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Advanced Index Compression                              |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Backup HIGH Compression                                 |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Backup LOW Compression                                  |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Backup MEDIUM Compression                               |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Backup ZLIB Compression                                 |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Data Guard                                              |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |HeapCompression                                         |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |HeapCompression                                         |SUPPRESSED_DUE_TO_BUG   |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |              0|          339|FALSE         |                   |                   |
Advanced Compression                               |HeapCompression                                         |SUPPRESSED_DUE_TO_BUG   |2015.03.22_20.32.15|1836890876|11.2.0.3.0 |              0|          166|FALSE         |                   |                   |
Advanced Compression                               |Heat Map                                                |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Hybrid Columnar Compression Row Level Locking           |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Information Lifecycle Management                        |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Oracle Advanced Network Compression Service             |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |Oracle Utility Datapump (Export)                        |PAST_OR_CURRENT_USAGE   |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|compression used: 439 times
Advanced Compression                               |Oracle Utility Datapump (Export)                        |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |             56|           60|TRUE          |2021.10.28_01.31.30|2022.12.17_19.27.36|compression used: 437 times
Advanced Compression                               |Oracle Utility Datapump (Export)                        |PAST_USAGE              |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |            231|          339|TRUE          |2015.03.28_02.23.26|2021.10.22_20.20.01|compression used: 6 times
Advanced Compression                               |Oracle Utility Datapump (Import)                        |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|
Advanced Compression                               |SecureFile Compression (user)                           |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Compression                               |SecureFile Deduplication (user)                         |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Security                                  |Backup Encryption                                       |PAST_USAGE              |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |             22|          339|TRUE          |2019.04.05_22.06.06|2021.10.22_20.20.01|
Advanced Security                                  |Data Redaction                                          |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
